SRC,DST,FRAME,migranty,sname,dname
3612000,47715000,100,2,Выселковский район,Мончегорск
3612000,71956000,100,3,Выселковский район,Новый Уренгой
3613000,4729000,100,1,Гулькевичский район,Норильск
3613000,11701000,100,8,Гулькевичский район,Архангельск
3613000,47608000,100,2,Гулькевичский район,Кандалакша
3613000,47701000,100,4,Гулькевичский район,Мурманск
3613000,47705000,100,1,Гулькевичский район,Апатиты
3613000,47712000,100,1,Гулькевичский район,Кировск
3613000,47715000,100,1,Гулькевичский район,Мончегорск
3613000,47717000,100,1,Гулькевичский район,Оленегорск
3613000,47730000,100,2,Гулькевичский район,Североморск
3613000,47733000,100,1,Гулькевичский район,Заозерск
3613000,47737000,100,1,Гулькевичский район,Александровск
3613000,71916000,100,1,Гулькевичский район,Надымский район
3613000,71951000,100,2,Гулькевичский район,Салехард
3613000,71952000,100,2,Гулькевичский район,Губкинский
3613000,71956000,100,1,Гулькевичский район,Новый Уренгой
3613000,71958000,100,6,Гулькевичский район,Ноябрьск
3613000,77701000,100,1,Гулькевичский район,Анадырь
3613000,86706000,100,1,Гулькевичский район,Костомукша
3613000,87710000,100,2,Гулькевичский район,Воркута
3613000,87723000,100,4,Гулькевичский район,Усинск
3614000,47615000,100,1,Динской район,Печенгский район
3614000,47701000,100,3,Динской район,Мурманск
3614000,47705000,100,1,Динской район,Апатиты
3614000,47737000,100,1,Динской район,Александровск
3614000,77609000,100,2,Динской район,Билибинский район
3616000,4653000,100,1,Ейский район,Диксонский район
3616000,4729000,100,13,Ейский район,Норильск
3616000,11701000,100,6,Ейский район,Архангельск
3616000,11730000,100,2,Ейский район,Северодвинск
3616000,11851000,100,1,Ейский район,Нарьян-Мар
3616000,47615000,100,3,Ейский район,Печенгский район
3616000,47620000,100,1,Ейский район,Терский район
3616000,47701000,100,22,Ейский район,Мурманск
3616000,47703000,100,1,Ейский район,Ковдорский район
3616000,47712000,100,1,Ейский район,Кировск
3616000,47715000,100,1,Ейский район,Мончегорск
3616000,47719000,100,1,Ейский район,Полярные Зори
3616000,47730000,100,8,Ейский район,Североморск
3616000,47733000,100,2,Ейский район,Заозерск
3616000,47737000,100,2,Ейский район,Александровск
3616000,71916000,100,3,Ейский район,Надымский район
3616000,71918000,100,1,Ейский район,Приуральский район
3616000,71920000,100,2,Ейский район,Пуровский район
3616000,71951000,100,2,Ейский район,Салехард
3616000,71953000,100,2,Ейский район,Лабытнанги
3616000,71956000,100,3,Ейский район,Новый Уренгой
3616000,71958000,100,6,Ейский район,Ноябрьск
3616000,77603000,100,1,Ейский район,Анадырский район
3616000,77615000,100,1,Ейский район,Иультинский район
3616000,77701000,100,3,Ейский район,Анадырь
3616000,87710000,100,2,Ейский район,Воркута
3616000,87723000,100,1,Ейский район,Усинск
3618000,4729000,100,11,Кавказский район,Норильск
3618000,11652000,100,1,Кавказский район,Приморский район
3618000,11701000,100,6,Кавказский район,Архангельск
3618000,11730000,100,3,Кавказский район,Северодвинск
3618000,47605000,100,1,Кавказский район,Кольский район
3618000,47610000,100,1,Кавказский район,Ловозерский район
3618000,47615000,100,1,Кавказский район,Печенгский район
3618000,47701000,100,5,Кавказский район,Мурманск
3618000,47705000,100,2,Кавказский район,Апатиты
3618000,47712000,100,1,Кавказский район,Кировск
3618000,47717000,100,1,Кавказский район,Оленегорск
3618000,47730000,100,1,Кавказский район,Североморск
3618000,71916000,100,3,Кавказский район,Надымский район
3618000,71920000,100,1,Кавказский район,Пуровский район
3618000,71951000,100,2,Кавказский район,Салехард
3618000,71952000,100,1,Кавказский район,Губкинский
3618000,71955000,100,1,Кавказский район,Муравленко
3618000,71956000,100,6,Кавказский район,Новый Уренгой
3618000,71958000,100,2,Кавказский район,Ноябрьск
3618000,86645000,100,1,Кавказский район,Сегежский район
3618000,86706000,100,1,Кавказский район,Костомукша
3618000,87715000,100,1,Кавказский район,Инта
3618000,87723000,100,3,Кавказский район,Усинск
3619000,11851000,100,1,Калининский район,Нарьян-Мар
3619000,47615000,100,3,Калининский район,Печенгский район
3619000,47701000,100,2,Калининский район,Мурманск
3619000,47730000,100,1,Калининский район,Североморск
3619000,47735000,100,1,Калининский район,Видяево
3619000,71956000,100,2,Калининский район,Новый Уренгой
3619000,71958000,100,1,Калининский район,Ноябрьск
3620000,4653000,100,1,Каневской район,Диксонский район
3620000,11648000,100,1,Каневской район,Пинежский район
3620000,11701000,100,1,Каневской район,Архангельск
3620000,11851000,100,1,Каневской район,Нарьян-Мар
3620000,47610000,100,1,Каневской район,Ловозерский район
3620000,47701000,100,2,Каневской район,Мурманск
3620000,47705000,100,1,Каневской район,Апатиты
3620000,47717000,100,2,Каневской район,Оленегорск
3620000,47730000,100,2,Каневской район,Североморск
3620000,47737000,100,1,Каневской район,Александровск
3620000,71920000,100,1,Каневской район,Пуровский район
3620000,71928000,100,1,Каневской район,Ямальский район
3620000,71956000,100,6,Каневской район,Новый Уренгой
3620000,71958000,100,1,Каневской район,Ноябрьск
3620000,87723000,100,2,Каневской район,Усинск
3621000,4729000,100,2,Кореновский район,Норильск
3621000,11652000,100,2,Кореновский район,Приморский район
3621000,47605000,100,2,Кореновский район,Кольский район
3621000,47608000,100,1,Кореновский район,Кандалакша
3621000,47701000,100,8,Кореновский район,Мурманск
3621000,47705000,100,1,Кореновский район,Апатиты
3621000,47715000,100,1,Кореновский район,Мончегорск
3621000,47730000,100,2,Кореновский район,Североморск
3621000,71916000,100,1,Кореновский район,Надымский район
3621000,71951000,100,1,Кореновский район,Салехард
3621000,71958000,100,2,Кореновский район,Ноябрьск
3621000,77603000,100,1,Кореновский район,Анадырский район
3621000,86706000,100,1,Кореновский район,Костомукша
3621000,87710000,100,3,Кореновский район,Воркута
3621000,87715000,100,1,Кореновский район,Инта
3621000,87723000,100,1,Кореновский район,Усинск
