Название;Год;МО;Регион;Тип;Широта;Долгота;Численность населения
г. Певек;2010;ГО Певек;Чукотский АО;город;69.70287;170.29993;4162.0
г. Певек;2021;ГО Певек;Чукотский АО;город;69.70287;170.29993;4015.0
г. Полярные Зори;2002;МО Полярные Зори;Мурманская область;город;67.36611;32.49806;15910.0
г. Полярные Зори;2010;МО Полярные Зори;Мурманская область;город;67.36611;32.49806;15096.0
г. Полярные Зори;2021;МО Полярные Зори;Мурманская область;город;67.36611;32.49806;14146.0
г. Полярный;1959;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;11354.0
г. Полярный;1970;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;15321.0
г. Полярный;1979;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;20015.0
г. Полярный;1989;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;28545.0
г. Полярный;2002;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;18552.0
г. Полярный;2010;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;17293.0
г. Полярный;2021;ЗАТО Александровск;Мурманская область;город;69.19889;33.44778;12293.0
г. Салехард;1939;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;12764.0
г. Салехард;1959;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;16567.0
г. Салехард;1970;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;21929.0
г. Салехард;1979;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;24935.0
г. Салехард;1989;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;33207.0
г. Салехард;2002;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;36827.0
г. Салехард;2010;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;42544.0
г. Салехард;2021;ГО Салехард;Ямало-Ненецкий АО;город;66.53;66.60194;47910.0
г. Северодвинск;1939;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;21304.0
г. Северодвинск;1959;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;78657.0
г. Северодвинск;1970;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;144672.0
г. Северодвинск;1979;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;197232.0
г. Северодвинск;1989;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;253864.0
г. Северодвинск;2002;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;201551.0
г. Северодвинск;2010;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;192353.0
г. Северодвинск;2021;ГО Северодвинск;Архангельская область (без НАО);город;64.5635;39.8302;157213.0
г. Североморск;1959;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;28116.0
г. Североморск;1970;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;40919.0
г. Североморск;1979;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;50090.0
г. Североморск;1989;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;63495.0
г. Североморск;2002;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;55102.0
г. Североморск;2010;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;50060.0
г. Североморск;2021;ЗАТО Североморск;Мурманская область;город;69.06889;33.41622;43327.0
г. Сегежа;1959;МР Сегежский;Республика Карелия;город;63.74147;34.32218;19708.0
г. Сегежа;1970;МР Сегежский;Республика Карелия;город;63.74147;34.32218;28810.0
г. Сегежа;1979;МР Сегежский;Республика Карелия;город;63.74147;34.32218;36420.0
г. Сегежа;1989;МР Сегежский;Республика Карелия;город;63.74147;34.32218;37707.0
г. Сегежа;2002;МР Сегежский;Республика Карелия;город;63.74147;34.32218;34214.0
г. Сегежа;2010;МР Сегежский;Республика Карелия;город;63.74147;34.32218;29631.0
г. Сегежа;2021;МР Сегежский;Республика Карелия;город;63.74147;34.32218;23543.0
г. Снежногорск;2002;ЗАТО Александровск;Мурманская область;город;69.19333;33.25314;12737.0
г. Снежногорск;2010;ЗАТО Александровск;Мурманская область;город;69.19333;33.25314;12683.0
г. Снежногорск;2021;ЗАТО Александровск;Мурманская область;город;69.19333;33.25314;9942.0
г. Среднеколымск;1939;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;2029.0
г. Среднеколымск;1959;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;2088.0
г. Среднеколымск;1970;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;2729.0
г. Среднеколымск;1979;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;3309.0
г. Среднеколымск;1989;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;4384.0
г. Среднеколымск;2002;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;3587.0
г. Среднеколымск;2010;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;3525.0
г. Среднеколымск;2021;МР Среднеколымский;Республика Саха (Якутия);город;67.45659;153.70246;3131.0
г. Талнах;1989;ГО Норильск;Красноярский край;город;69.4865;88.3972;65710.0
г. Талнах;2002;ГО Норильск;Красноярский край;город;69.4865;88.3972;58654.0
г. Тарко-Сале;2010;МО Пуровский;Ямало-Ненецкий АО;город;64.91611;77.77457;20398.0
г. Тарко-Сале;2021;МО Пуровский;Ямало-Ненецкий АО;город;64.91611;77.77457;19900.0
г. Усинск;1989;ГО Усинск;Республика Коми;город;65.99389;57.52806;47419.0
г. Усинск;2002;ГО Усинск;Республика Коми;город;65.99389;57.52806;45358.0
г. Усинск;2010;ГО Усинск;Республика Коми;город;65.99389;57.52806;40827.0
г. Усинск;2021;ГО Усинск;Республика Коми;город;65.99389;57.52806;32182.0
пгт Абезь;1959;ГО Инта;Республика Коми;пгт;66.53333;61.78333;3040.0
пгт Абезь;1970;ГО Инта;Республика Коми;пгт;66.53333;61.78333;741.0
пгт Абезь;1979;ГО Инта;Республика Коми;пгт;66.53333;61.78333;866.0
пгт Абезь;1989;ГО Инта;Республика Коми;пгт;66.53333;61.78333;864.0
пгт Алискерово;1970;МР Билибинский;Чукотский АО;пгт;67.77604;167.52406;1245.0
пгт Алискерово;1979;МР Билибинский;Чукотский АО;пгт;67.77604;167.52406;1170.0
пгт Алискерово;1989;МР Билибинский;Чукотский АО;пгт;67.77604;167.52406;1406.0
пгт Алискерово;2002;МР Билибинский;Чукотский АО;пгт;67.77604;167.52406;7.0
пгт Амбарный;1959;МР Лоухский;Республика Карелия;пгт;65.89559;33.72756;1997.0
пгт Амбарный;1970;МР Лоухский;Республика Карелия;пгт;65.89559;33.72756;2004.0
пгт Амбарный;1979;МР Лоухский;Республика Карелия;пгт;65.89559;33.72756;1579.0
пгт Амбарный;1989;МР Лоухский;Республика Карелия;пгт;65.89559;33.72756;1414.0
пгт Амдерма;1959;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655;3598.0
пгт Амдерма;1970;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655;4516.0
пгт Амдерма;1979;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655;4221.0
пгт Амдерма;1989;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655;5469.0
пгт Амдерма;2002;МР Заполярный;Ненецкий АО;пгт;69.7576;61.6655;650.0
пгт Анадырь;1939;ГО Анадырь;Чукотский АО;пгт;64.73424;177.5103;3344.0
пгт Анадырь;1959;ГО Анадырь;Чукотский АО;пгт;64.73424;177.5103;5859.0
пгт Апатиты;1939;МО Апатиты;Мурманская область;пгт;67.56414;33.4031;4409.0
пгт Апатиты;1959;МО Апатиты;Мурманская область;пгт;67.56414;33.4031;13958.0
пгт Африканда;1959;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279;3412.0
пгт Африканда;1970;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279;2908.0
пгт Африканда;1979;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279;2803.0
пгт Африканда;1989;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279;3544.0
пгт Африканда;2002;МО Полярные Зори;Мурманская область;пгт;67.44289;32.78279;1908.0
