Населенный пункт;id;region;municipality;settlement;type;Население, человек;children;latitude_dms;longitude_dms;lat;lon;oktmo;dadata;rosstat;typ
пос. Турдеевск;76468;Архангельская область;Архангельск;Турдеевск;п;997;173;64.27.24;040.46.55;64.45666667;40.78194444;11701000121;0;1;поселок
пос. Кодино;109645;Архангельская область;Онежский муниципальный район;Кодино;п;957;225;63.43.44;039.38.17;63.72888889;39.63805556;11646403101;0;1;поселок
с. Салемал;115609;Ямало-Ненецкий автономный округ;Ямальский муниципальный район;Салемал;с;946;367;66.45.42;069.09.19;66.76166667;69.15527778;71928410000;0;1;село
с. Улахан-Кюель;88453;Республика Саха (Якутия);Верхоянский;Улахан-Кюель;с;946;260;67.32.28;136.30.29;67.54111111;136.5080556;98616453101;0;1;село
с. Усть-Белая;6818;Чукотский автономный округ;Анадырский район;Усть-Белая;с;938;241;65.30.20;173.16.42;65.50555556;173.2783333;77603455101;0;1;село
пос. Соловецкий;115969;Архангельская область;Приморский муниципальный район;Соловецкий;п;934;142;65.01.18;035.42.36;65.02166667;35.71;11652458101;0;1;поселок
пгт Заполярный (ЯНАО);109355;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Заполярный (ЯНАО);пгт;926;248;66.27.09;073.51.44;66.4525;73.86222222;71916153051;1;0;пгт
пос. Кестеньга;109808;Республика Карелия;Лоухский;Кестеньга;п;923;200;65.53.09;031.49.22;65.88583333;31.82277778;86621425101;0;1;поселок
с. Мутный Материк;46916;Республика Коми;ГО Усинск;Мутный Материк;с;922;237;65.57.18;055.08.47;65.955;55.14638889;87723000136;0;1;село
с. Кутопьюган;138486;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Кутопьюган;с;919;277;66.19.17;070.22.58;66.32138889;70.38277778;71916402101;0;1;село
пос. Ягельный;40281;Ямало-Ненецкий автономный округ;Надымский муниципальный район;Ягельный;п;890;255;64.40.47;072.21.59;64.67972222;72.36638889;71916423101;0;1;поселок
пгт Снежногорск;144218;Красноярский край;Норильск;Снежногорск (пгт);гп;887;189;68.05.40;087.47.30;68.09444444;87.79166667;4729000056;1;0;пгт
пгт Парма;66591;Республика Коми;ГО Усинск;Парма;пгт;875;199;65.57.04;057.27.39;65.95111111;57.46083333;87723000056;1;0;пгт
с. Халясавэй;129627;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Халясавэй;с;866;348;63.22.56;078.19.36;63.38222222;78.32666667;71920403000;0;1;село
с. Ворогово;111767;Красноярский край;Туруханский район;Ворогово;с;856;241;61.01.57;089.36.44;61.0325;89.61222222;4654413101;1;0;село
с. Харыялах;16271;Республика Саха (Якутия);Оленёкский национальный эвенкийский;Харыялах;с;843;280;68.29.52;112.24.38;68.49777778;112.4105556;98642424101;1;0;село
с. Териберка;62834;Мурманская область;Кольский муниципальный район;Териберка;с;837;83;69.09.52;035.08.32;69.16444444;35.14222222;47605405101;0;1;село
пос. Тухард;62473;Красноярский край;Таймырский Долгано-Ненецкий район;Тухард;п;814;386;69.18.11;084.20.08;69.30305556;84.33555556;4653417141;0;1;поселок
с. Шурышкары;25168;Ямало-Ненецкий автономный округ;Шурышкарский муниципальный район;Шурышкары;с;808;291;65.54.09;065.21.02;65.9025;65.35055556;71926421101;0;1;село
с. Караул;29218;Красноярский край;Таймырский Долгано-Ненецкий район;Караул;с;801;260;70.04.19;083.12.10;70.07194444;83.20277778;4653417101;0;1;село
с. Бетенкес;99025;Республика Саха (Якутия);Верхоянский;Бетенкес;с;796;256;67.39.00;135.34.30;67.65;135.575;98616404101;0;1;село
пос. Зашеек;57531;Мурманская область;Городской округ город Полярные Зори с подведомственной территорией;Зашеек (поселок);нп;785;141;67.24.08;032.32.55;67.40222222;32.54861111;47719000106;1;0;поселок
с. Катравож;4524;Ямало-Ненецкий автономный округ;Приуральский муниципальный район;Катравож;с;781;337;66.19.24;066.04.47;66.32333333;66.07972222;71918415000;0;1;село
пос. Новолавела;57784;Архангельская область;Пинежский муниципальный район;Новолавела;п;779;168;63.36.48;045.31.22;63.61333333;45.52277778;11648420101;0;1;поселок
с. Колымское;104719;Республика Саха (Якутия);Нижнеколымский;Колымское;с;775;289;68.43.40;158.42.13;68.72777778;158.7036111;98637437101;0;1;село
д. Харампур;111756;Ямало-Ненецкий автономный округ;Пуровский муниципальный район;Харампур;д;757;236;64.16.48;078.05.40;64.28;78.09444444;71920418000;0;1;деревня
с. Сумский Посад;120104;Республика Карелия;Беломорский;Сумский Посад;с;754;108;64.15.17;035.25.15;64.25472222;35.42083333;86604433101;0;1;село
с. Марково;111723;Чукотский автономный округ;Анадырский район;Марково;с;750;231;64.40.45;170.24.25;64.67916667;170.4069444;77603430101;0;1;село
пос. Валдай;39332;Республика Карелия;Сегежский;Валдай;п;747;97;63.25.47;035.30.45;63.42972222;35.5125;86645411101;0;1;поселок
с. Канчалан;64276;Чукотский автономный округ;Анадырский район;Канчалан;с;747;229;65.10.28;176.45.59;65.17444444;176.7663889;77603420101;0;1;село
с. Кустур;77017;Республика Саха (Якутия);Эвено-Бытантайский национальный;Кустур;с;730;230;68.10.19;131.40.36;68.17194444;131.6766667;98659415101;0;1;село
д. Чукчино;155253;Республика Коми;МР Усть-Цилемский;Чукчино;д;729;132;65.25.22;052.11.22;65.42277778;52.18944444;87652415121;0;1;деревня
с. Таймылыр;26382;Республика Саха (Якутия);Булунский;Таймылыр;с;723;301;72.36.43;121.54.43;72.61194444;121.9119444;98612445101;0;1;село
